DBID	TF_Name	TF_Status	Family_Name	DBDs
YKL112W	ABF1	D	ABF1	BAF1_ABF1
YKL112W	ABF1	D	ABF1	BAF1_ABF1
YKL112W	ABF1	D	ABF1	BAF1_ABF1
YKL112W	ABF1	D	ABF1	BAF1_ABF1
YKL112W	ABF1	D	ABF1	BAF1_ABF1
YKL112W	ABF1	D	ABF1	BAF1_ABF1
YKL112W	ABF1	D	ABF1	BAF1_ABF1
YKL112W	ABF1	D	ABF1	BAF1_ABF1
YGL071W	AFT1	D	AFT	AFT
YGL071W	AFT1	D	AFT	AFT
YGL071W	AFT1	D	AFT	AFT
YPL202C	AFT2	D	AFT	AFT
YPL202C	AFT2	D	AFT	AFT
YPL202C	AFT2	D	AFT	AFT
YDL056W	MBP1	D	APSES	KilA-N
YDL056W	MBP1	D	APSES	KilA-N
YDL056W	MBP1	D	APSES	KilA-N
YDL056W	MBP1	D	APSES	KilA-N
YER111C	SWI4	D	APSES	KilA-N
YER111C	SWI4	D	APSES	KilA-N
YER111C	SWI4	D	APSES	KilA-N
YER111C	SWI4	D	APSES	KilA-N
YER111C	SWI4	D	APSES	KilA-N
YIL101C	XBP1	D	APSES	KilA-N
YIL101C	XBP1	D	APSES	KilA-N
YIL101C	XBP1	D	APSES	KilA-N
YIL101C	XBP1	D	APSES	KilA-N
YIL101C	XBP1	D	APSES	KilA-N
YIL101C	XBP1	D	APSES	KilA-N
YKL043W	PHD1	D	APSES	KilA-N
YKL043W	PHD1	D	APSES	KilA-N
YKL043W	PHD1	D	APSES	KilA-N
YKL043W	PHD1	D	APSES	KilA-N
YKL043W	PHD1	D	APSES	KilA-N
YKL043W	PHD1	D	APSES	KilA-N
YKL043W	PHD1	D	APSES	KilA-N
YKL043W	PHD1	D	APSES	KilA-N
YMR016C	SOK2	D	APSES	KilA-N
YMR016C	SOK2	D	APSES	KilA-N
YMR016C	SOK2	D	APSES	KilA-N
YMR176W	ECM5	I	ARID/BRIGHT	ARID
YPL016W	SWI1	N	ARID/BRIGHT	ARID
YBR060C	ORC2	I	AT hook	AT_hook
YDR310C	SUM1	D	AT hook	AT_hook
YDR310C	SUM1	D	AT hook	AT_hook
YDR310C	SUM1	D	AT hook	AT_hook
YDR310C	SUM1	D	AT hook	AT_hook
YDR310C	SUM1	D	AT hook	AT_hook
YGR071C	ENV11	N	BED ZF	zf-BED
YBL103C	RTG3	D	bHLH	HLH
YBL103C	RTG3	D	bHLH	HLH
YBL103C	RTG3	D	bHLH	HLH
YBL103C	RTG3	D	bHLH	HLH
YDR123C	INO2	D	bHLH	HLH
YDR123C	INO2	D	bHLH	HLH
YDR123C	INO2	D	bHLH	HLH
YFR034C	PHO4	D	bHLH	HLH
YFR034C	PHO4	D	bHLH	HLH
YFR034C	PHO4	D	bHLH	HLH
YFR034C	PHO4	D	bHLH	HLH
YFR034C	PHO4	D	bHLH	HLH
YJR060W	CBF1	D	bHLH	HLH
YJR060W	CBF1	D	bHLH	HLH
YJR060W	CBF1	D	bHLH	HLH
YJR060W	CBF1	D	bHLH	HLH
YJR060W	CBF1	D	bHLH	HLH
YJR060W	CBF1	D	bHLH	HLH
YJR060W	CBF1	D	bHLH	HLH
YJR060W	CBF1	D	bHLH	HLH
YJR060W	CBF1	D	bHLH	HLH
YJR060W	CBF1	D	bHLH	HLH
YJR060W	CBF1	D	bHLH	HLH
YOL067C	RTG1	D	bHLH	HLH
YOL067C	RTG1	D	bHLH	HLH
YOL108C	INO4	D	bHLH	HLH
YOL108C	INO4	D	bHLH	HLH
YOR032C	HMS1	D	bHLH	HLH
YOR344C	TYE7	D	bHLH	HLH
YOR344C	TYE7	D	bHLH	HLH
YOR344C	TYE7	D	bHLH	HLH
YOR344C	TYE7	D	bHLH	HLH
YDR259C	YAP6	D	bZIP	bZIP_1
YDR259C	YAP6	D	bZIP	bZIP_1
YDR423C	CAD1	D	bZIP	bZIP_1
YDR423C	CAD1	D	bZIP	bZIP_1
YDR423C	CAD1	D	bZIP	bZIP_1
YDR423C	CAD1	D	bZIP	bZIP_1
YEL009C	GCN4	D	bZIP	bZIP_1
YEL009C	GCN4	D	bZIP	bZIP_1
YEL009C	GCN4	D	bZIP	bZIP_1
YEL009C	GCN4	D	bZIP	bZIP_1
YEL009C	GCN4	D	bZIP	bZIP_1
YER045C	ACA1	D	bZIP	bZIP_1
YFL031W	HAC1	D	bZIP	bZIP_1
YFL031W	HAC1	D	bZIP	bZIP_1
YFL031W	HAC1	D	bZIP	bZIP_1
YFL031W	HAC1	D	bZIP	bZIP_1
YFL031W	HAC1	D	bZIP	bZIP_1
YFL031W	HAC1	D	bZIP	bZIP_1
YHL009C	YAP3	D	bZIP	bZIP_1
YHL009C	YAP3	D	bZIP	bZIP_1
YHL009C	YAP3	D	bZIP	bZIP_1
YHL009C	YAP3	D	bZIP	bZIP_1
YHL009C	YAP3	D	bZIP	bZIP_1
YIL036W	CST6	D	bZIP	bZIP_1
YIL036W	CST6	D	bZIP	bZIP_1
YIL036W	CST6	D	bZIP	bZIP_1
YIL036W	CST6	D	bZIP	bZIP_1
YIR017C	MET28	D	bZIP	bZIP_1
YIR017C	MET28	D	bZIP	bZIP_1
YIR018W	YAP5	D	bZIP	bZIP_1
YIR018W	YAP5	D	bZIP	bZIP_1
YIR018W	YAP5	D	bZIP	bZIP_1
YLR254C	NDL1	N	bZIP	bZIP_1
YML007W	YAP1	D	bZIP	bZIP_1
YML007W	YAP1	D	bZIP	bZIP_1
YML007W	YAP1	D	bZIP	bZIP_1
YML007W	YAP1	D	bZIP	bZIP_1
YML007W	YAP1	D	bZIP	bZIP_1
YNL167C	SKO1	D	bZIP	bZIP_1
YNL167C	SKO1	D	bZIP	bZIP_1
YNL167C	SKO1	D	bZIP	bZIP_1
YOL028C	YAP7	D	bZIP	bZIP_1
YOL028C	YAP7	D	bZIP	bZIP_1
YOL028C	YAP7	D	bZIP	bZIP_1
YOR028C	CIN5	D	bZIP	bZIP_1
YOR028C	CIN5	D	bZIP	bZIP_1
YOR028C	CIN5	D	bZIP	bZIP_1
YOR028C	CIN5	D	bZIP	bZIP_1
YOR028C	CIN5	D	bZIP	bZIP_1
YPR199C	ARR1	D	bZIP	bZIP_1
YPR199C	ARR1	D	bZIP	bZIP_1
YPR199C	ARR1	D	bZIP	bZIP_1
YBR066C	NRG2	D	C2H2 ZF	zf-C2H2
YBR066C	NRG2	D	C2H2 ZF	zf-C2H2
YBR267W	REI1	D	C2H2 ZF	zf-C2H2
YBR267W	REI1	D	C2H2 ZF	zf-C2H2
YBR267W	REI1	D	C2H2 ZF	zf-C2H2
YDL020C	RPN4	D	C2H2 ZF	zf-C2H2
YDL020C	RPN4	D	C2H2 ZF	zf-C2H2
YDL020C	RPN4	D	C2H2 ZF	zf-C2H2
YDL020C	RPN4	D	C2H2 ZF	zf-C2H2
YDL048C	STP4	D	C2H2 ZF	zf-C2H2
YDL048C	STP4	D	C2H2 ZF	zf-C2H2
YDL048C	STP4	D	C2H2 ZF	zf-C2H2
YDL048C	STP4	D	C2H2 ZF	zf-C2H2
YDL074C	BRE1	N	C2H2 ZF	zf-C2H2
YDR043C	NRG1	D	C2H2 ZF	zf-C2H2
YDR043C	NRG1	D	C2H2 ZF	zf-C2H2
YDR043C	NRG1	D	C2H2 ZF	zf-C2H2
YDR096W	GIS1	D	C2H2 ZF	zf-C2H2
YDR096W	GIS1	D	C2H2 ZF	zf-C2H2
YDR096W	GIS1	D	C2H2 ZF	zf-C2H2
YDR146C	SWI5	D	C2H2 ZF	zf-C2H2
YDR146C	SWI5	D	C2H2 ZF	zf-C2H2
YDR146C	SWI5	D	C2H2 ZF	zf-C2H2
YDR216W	ADR1	D	C2H2 ZF	zf-C2H2
YDR216W	ADR1	D	C2H2 ZF	zf-C2H2
YDR216W	ADR1	D	C2H2 ZF	zf-C2H2
YDR216W	ADR1	D	C2H2 ZF	zf-C2H2
YDR216W	ADR1	D	C2H2 ZF	zf-C2H2
YDR253C	MET32	D	C2H2 ZF	zf-C2H2
YDR253C	MET32	D	C2H2 ZF	zf-C2H2
YDR253C	MET32	D	C2H2 ZF	zf-C2H2
YDR253C	MET32	D	C2H2 ZF	zf-C2H2
YDR463W	STP1	D	C2H2 ZF	zf-C2H2
YDR463W	STP1	D	C2H2 ZF	zf-C2H2
YDR463W	STP1	D	C2H2 ZF	zf-C2H2
YDR463W	STP1	D	C2H2 ZF	zf-C2H2
YER028C	MIG3	D	C2H2 ZF	zf-C2H2
YER028C	MIG3	D	C2H2 ZF	zf-C2H2
YER028C	MIG3	D	C2H2 ZF	zf-C2H2
YER028C	MIG3	D	C2H2 ZF	zf-C2H2
